account_name,url,caption,caption_length,likes,comments,post_date,day_of_week,hour_of_day,is_night_post,is_special_date,media_type,num_hashtags,num_mentions,num_emojis,has_question,has_call_to_action,followers,followees,engagement_ratio,comment_like_ratio,caption_sentiment,num_exclamations,hashtag_ratio,topic,readability,num_positive_words,num_negative_words
garnier_es,https://www.instagram.com/garnier_es/reel/DI9aDPXNHJB/,"Lo de juntar a @porcinosfc.ig con nuestro Coni-G y @ibaillanos ha sido un mix de otro planeta 🌍 ¿Qué será lo próximo?🤔 Stay tuned porque lo que traemos en muy pocos días será todavía MÁS potente💥

#LetsPlay #KingsLeague #QueensLeague #GoodGame #LetsFeelGood",257,186,13,2025-04-27T18:09:19.000Z,Sunday,18,False,False,reel,5,2,2,True,False,277000,1471,0.0007,0.0699,neutro,0,0.122,otro,66.4,0,0
garnier_es,https://www.instagram.com/garnier_es/reel/DI3reYJJvhx/,"Oye @ibaillanos lo de las charlas motivadoras ya sabemos que son lo tuyo 🫡​ pero, ¿cuando vas a desvelar tus secretos beauty? 💚​

Recuerda que puedes ver los partidos de la Queens y Kings League en Twitch el sábado a las 17:00 y domingo a las 21:00h 🐽

#LetsPlay #QueensLeague #GoodGame #LetsFeelGood",300,676,14,2025-04-25T12:44:51.000Z,Friday,12,False,False,reel,4,1,2,True,False,277000,1471,0.0025,0.0207,neutro,0,0.0769,otro,57.66,0,0
garnier_es,https://www.instagram.com/garnier_es/reel/DI1NU-epdOj/,"¿El combo Coni-G + @porcinosfc.ig? 💯 No me lo superes, iguálamelo😉

#LetsPlay #KingsLeague #GoodGame #LetsFeelGood",114,112,8,2025-04-24T13:42:35.000Z,Thursday,13,False,False,reel,4,1,2,True,False,277000,1471,0.0004,0.0714,neutro,0,0.2667,otro,37.55,0,0
garnier_es,https://www.instagram.com/garnier_es/reel/DIy5ROxpVbW/,"La confianza de las jugadoras de @porcinosfc.ig traspasa la pantalla🤩 ¡Qué gustazo ver tanta complicidad dentro y fuera del campo!

#LetsPlay #QueensLeague #GoodGame #LetsFeelGood",179,446,19,2025-04-23T16:08:51.000Z,Wednesday,16,False,False,reel,4,1,0,False,False,277000,1471,0.0017,0.0426,neutro,1,0.1667,otro,33.04,0,0
garnier_es,https://www.instagram.com/garnier_es/reel/DItrRPCppxm/,"Hay alguien de este equipo... que como vea este video se va a quedar sin ir a París 😜​ 

La última es simplemente... aura, hasta que el presi lo vea💥 

Déjanos tus teorías en comentarios👇🏼 

#LetsPlay #KingsLeague #GoodGame #LetsFeelGood",237,365,10,2025-04-21T15:30:14.000Z,Monday,15,False,False,reel,4,0,4,False,True,277000,1471,0.0014,0.0274,neutro,0,0.1026,otro,60.4,0,0
garnier_es,https://www.instagram.com/garnier_es/reel/DIrbNgXoUgu/,"Cada risa y mirada = una teoría distinta😉 Cuéntanos en comentarios quién crees que es la culpable de cada secreto 🤫 

#LetsPlay #QueensLeague #GoodGame #LetsFeelGood",165,1336,21,2025-04-20T18:30:00.000Z,Sunday,18,False,False,reel,4,0,1,False,True,277000,1471,0.0049,0.0157,neutro,0,0.16,otro,21.65,0,0
garnier_es,https://www.instagram.com/garnier_es/reel/DIJcAoUJJkn/,"🚨 ¡Lo avisamos… y no estábamos jugando!

Comienza una nueva etapa legendaria: @ibaillanos ficha como embajador de Garnier 🙌🏼 El principio de algo épico. ✍🏻",155,6653,206,2025-04-07T13:44:30.000Z,Monday,13,False,False,reel,0,1,4,False,False,277000,1471,0.0248,0.031,neutro,1,0.0,otro,38.01,0,0
garnier_es,https://www.instagram.com/garnier_es/reel/DIHMXDxNzGT/,"🚨💣 Este vídeo no tiene ningún sentido, ¡nos hemos vuelto locos!
Literalmente, nadie lo vio venir. 👀 Y sí, se trata de nuestro nuevo embajador.
Sinceramente, creemos que hemos pasado al siguiente nivel. 👑
Mañana lo contamos todo y, cuando lo veas, nos darás la razón. 🤝
¿Quién crees que será? Empiezan las teorías en 3, 2, 1…",324,387,39,2025-04-06T16:49:38.000Z,Sunday,16,False,False,reel,0,0,4,True,False,277000,1471,0.0015,0.1008,neutro,1,0.0,promoción,76.81,0,0
garnier_es,https://www.instagram.com/garnier_es/p/DIwCLy4NyVt/,"Esto y la oportunidad de jugar un partidillo con el equipo de @porcinosfc.ig 🐽 

Menciona a ese amigo que querría este planazo sí o sí 🙂‍↕️

#LetsPlay #KingsLeague #GoodGame #LetsFeelGood",187,118,8,2025-04-22T13:28:29.000Z,Tuesday,13,False,False,foto,4,1,2,False,False,277000,1471,0.0005,0.0678,neutro,0,0.1333,otro,44.58,0,0
garnier_es,https://www.instagram.com/garnier_es/p/DIlrw9yM-qN/,"Porcinas POWER 💥  Si algo caracteriza a Garnier es que apostamos por la Green Beauty for ALL of us 💚 y por eso para nosotros es FUNDAMENTAL apoyar también al equipo femenino de @porcinosfc.ig 🤩

¡No te pierdas los partidazos de nuestras chicas cada sábado en el canal oficial de la Kings League en Twitch!

#LetsPlay #QueensLeague #GoodGame #LetsFeelGood",354,268,18,2025-04-18T13:00:00.000Z,Friday,13,False,False,carrusel,4,1,2,False,False,277000,1471,0.001,0.0672,negativo,1,0.0678,otro,45.88,0,0
garnier_es,https://www.instagram.com/garnier_es/p/DIgoWSqoDPc/,"Si algo nos queda claro es que los jugadores de @porcinosfc.ig se conocen... ¡y mucho! 🐽 ¿Y tú? ¿Ya eres fan de la #KingsLeague? 

¡Puedes ver los partidos del equipo masculino cada domingo en el canal oficial de la Kings League en Twitch!

#LetsPlay #KingsLeague #GoodGame #LetsFeelGood",287,436,19,2025-04-16T13:54:07.000Z,Wednesday,13,False,False,carrusel,5,1,1,True,False,277000,1471,0.0016,0.0436,neutro,2,0.1064,otro,70.6,0,0
garnier_es,https://www.instagram.com/garnier_es/p/DIeODOrtWuL/,"¡Arrancamos con algo muuuy increíble! 🙌 Después de presentaros a @ibaillanos como nuestro embajador, a partir de hoy, con nuestra mascota Coni-G🐰 iremos conociendo más a los jugadores y jugadoras de @porcinosfc.ig tanto dentro como fuera del campo🐽 ¡No te lo pierdas! 

#LetsPlay #KingsLeague #QueensLeague #GoodGame #LetsFeelGood",330,477,41,2025-04-15T15:25:50.000Z,Tuesday,15,False,False,carrusel,5,2,3,False,False,277000,1471,0.0019,0.086,neutro,2,0.1064,otro,42.51,1,0
maybelline_es,https://www.instagram.com/maybelline_es/reel/DJeOZUoqBHD/,"¡Nunca habíamos tenido las pestañas tan infladas!

Y el culpable es… COLOSSAL BUBBLE 💛 La nueva máscara de pestañas viral de Maybelline NY 💛

¿Has visto su efecto? ¡Dale al like si a ti también te ha conquistado! 

#ColossalBubble #Maquillaje #Pestañas #Makeup #Maybelline #Productosvirales",290,167,1,2025-05-10T12:00:45.000Z,Saturday,12,False,False,reel,6,0,2,True,False,469000,620,0.0004,0.006,positivo,2,0.1364,otro,45.11,0,0
maybelline_es,https://www.instagram.com/maybelline_es/reel/DJWf_dwvhKq/,"Like si te gusta que tu máscara de pestañas:

✅ No pese
✅ No haga grumos
✅ Infle cada pestaña
Colossal Bubble hace TODO eso y más 🫧

¿La sumarías a tu rutina?

#ColossalBubble #Maquillaje #Pestañas #Makeup #Maybelline #Productosvirales",235,243,4,2025-05-07T12:00:17.000Z,Wednesday,12,False,False,reel,6,0,0,True,False,469000,620,0.0005,0.0165,positivo,0,0.1538,rutina,44.04,0,0
maybelline_es,https://www.instagram.com/maybelline_es/reel/DJT7MdZuvXT/,"Dale al play para descubrir…

La sensación de pestañas del momento COLOSSAL BUBBLE 💛

¡Estamos tan IN LOVE con el efecto en sus pestañas que todo el team hemos ido a por una y spoiler: no defrauda! 

#ColossalBubble #Maquillaje #Pestañas #Makeup #Maybelline #Productosvirales",275,219,13,2025-05-06T12:00:23.000Z,Tuesday,12,False,False,reel,6,0,1,False,False,469000,620,0.0005,0.0594,positivo,1,0.1395,otro,34.45,0,0
maybelline_es,https://www.instagram.com/maybelline_es/reel/DI_U12MI-f8/,"¡INFLA EL 100% DE TUS PESTAÑAS!

Con la nueva Colossal Bubble de Maybelline, cada pestaña se infla de forma ligera y modulable 🤭

Su fórmula innovadora y su cepillo peine inflador logran un volumen ligero sin necesidad de muchas pasadas y una separación perfecta 🤩

No es para menos: 9 de cada 10 usuarios dicen que sus pestañas se ven impactantemente infladas ⭐️
 
#ColossalBubble #Maquillaje #Pestañas #Makeup #Maybelline #Productosvirales",441,357,1,2025-04-28T12:00:25.000Z,Monday,12,False,False,reel,6,0,0,False,False,469000,620,0.0008,0.0028,positivo,1,0.087,otro,19.52,0,0
